ICAO_Code,FAA_Designator,Manufacturer,Model_FAA,Model_BADA,Physical_Class_Engine,Num_Engines,AAC,AAC_minimum,AAC_maximum,ADG,TDG,Approach_Speed_knot,Approach_Speed_minimum_knot,Approach_Speed_maximum_knot,Wingspan_ft_without_winglets_sharklets,Wingspan_ft_with_winglets_sharklets,Length_ft,Tail_Height_at_OEW_ft,Wheelbase_ft,Cockpit_to_Main_Gear_ft,Main_Gear_Width_ft,MTOW_lb,MALW_lb,Main_Gear_Config,ICAO_WTC,Parking_Area_ft2,Class,FAA_Weight,CWT,One_Half_Wake_Category,Two_Wake_Category_Appx_A,Two_Wake_Category_Appx_B,Rotor_Diameter_ft,SRS,LAHSO,FAA_Registry,Registration_Count,Total_IFR_Operations_2021_2022,Remarks,,,,,,,,,,,,,,,,
A10,A10,FAIRCHILD,Fairchild A10,Fairchild A-10A,Jet,2,C,,,II,2A,140,,,57.5,,53.3,14.7,17.9,17.9,18.3,"50,045",N/A,S,Medium,"3,935.3",Fixed-wing,Large,G,E,D,D,,III,N/A,Yes ,281,"33,752",,,,,,,,,,,,,,,,,
A124,A124,ANTONOV,Antonov AN-124 Ruslan,Antonov AN-124-100,Jet,4,D,,,VI,5,151,,,240.5,,226.2,68.2,78.9,92.0,33.0,"892,871","727,525",5D,Heavy,"57,915.6",Fixed-wing,Heavy,D,B,G,G,,III,N/A,Yes ,55,"1,972",,,,,,,,,,,,,,,,,
A19N,A19N,AIRBUS,Airbus A319 Neo,Airbus A319 Neo,Jet,2,C,,,III,3,130,,,,117.5,111.0,39.7,36.2,44.9,29.4,"166,449","137,789",D,Medium,"14,790.0",Fixed-wing,Large,F,D,D,C,,III,7,No,0,126,AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A20N,A20N,AIRBUS,Airbus A320 Neo,Airbus A320-271N,Jet,2,C,,,III,3,137,,,,117.5,123.3,39.6,41.5,50.2,29.4,"174,165","148,591",D,Medium,"16,358.3",Fixed-wing,Large,F,D,D,C,,III,7,Yes,147,"1,002,340",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A21N,A21N,AIRBUS,Airbus A321 Neo,Airbus A321-251N,Jet,2,C,,,III,3,136,,,,117.5,146.0,39.7,55.5,64.2,29.4,"209,439","174,606",D,Medium,"19,253.0",Fixed-wing,Large,F,D,D,C,,III,7,Yes,106,"490,022",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A306,A306,AIRBUS,Airbus A300 B4-600,Airbus A300B4-622,Jet,2,C,,,IV,5,137,,,147.1,,177.4,54.7,61.0,75.0,36.0,"363,760","304,230",2D,Heavy,"28,666.7",Fixed-wing,Heavy,C,C,C,B,,III,7,Yes,29,"307,259",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A30B,A30B,AIRBUS,Airbus A300-B2,Airbus A300B4-203,Jet,2,C,,,IV,5,137,,,147.1,,175.5,54.9,60.8,75.0,36.1,"363,760","299,829",2D,Heavy,"28,352.9",Fixed-wing,Heavy,C,C,C,B,,III,8,Yes,3,56,AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A310,A310,AIRBUS,Airbus A310,Airbus A310-204,Jet,2,C,,,IV,5,139,,,144.0,,153.2,52.3,49.9,63.9,36.0,"317,465","273,372",2D,Heavy,"24,361.0",Fixed-wing,Heavy,C,C,C,B,,III,7,Yes,26,"3,420",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A318,A318,AIRBUS,Airbus A318,Airbus A318-112,Jet,2,C,,,III,3,121,,,111.9,,103.2,42.3,33.6,42.4,29.4,"149,914","126,766",D,Medium,"13,185.0",Fixed-wing,Large,F,D,D,C,,III,7,Yes,7,"1,896",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A319,A319,AIRBUS,Airbus A319,Airbus A319-131,Jet,2,C,,,III,3,126,,,111.9,117.5,111.0,39.7,36.2,44.9,29.4,"168,653","134,482",D,Medium,"14,140.5",Fixed-wing,Large,F,D,D,C,,III,7,Yes,413,"1,492,670",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A320,A320,AIRBUS,Airbus A320,Airbus A320-231,Jet,2,C,,,III,3,136,,,111.9,117.5,123.3,39.6,41.5,50.2,29.4,"171,961","145,505",D,Medium,"16,354.4",Fixed-wing,Large,F,D,D,C,,III,7,Yes,698,"2,765,265",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A321,A321,AIRBUS,Airbus A321,Airbus A321-111,Jet,2,D,C,D,III,3,142,140,142,111.9,117.5,146.0,39.7,55.5,64.2,29.4,"200,621","171,520",D,Medium,"19,256.3",Fixed-wing,Large,F,D,D,C,,III,7,Yes,491,"2,121,440","The final approach speed is 140 knot at a MALW of 166,449 lb and classifies the aircraft into the AAC C while approach speed is 142 knot at a MALW of 171,520 lb and classifies into the AAC D.  AAC validated by Flight Standardization Board (FSB) report.",,,,,,,,,,,,,,,,
A332,A332,AIRBUS,Airbus A330-200,Airbus A330-243,Jet,2,C,,,V,5,136,,,197.8,,193.6,59.8,72.8,86.8,41.4,"533,519","401,241",2D,Heavy,"41,268.8",Fixed-wing,Heavy,B,B,B,A,,III,8,Yes,77,"175,607",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A333,A333,AIRBUS,Airbus A330-300,Airbus A330-301,Jet,2,C,,,V,5,137,,,197.8,,209.0,45.7,83.3,97.3,41.4,"533,519","412,264",2D,Heavy,"44,473.5",Fixed-wing,Heavy,B,B,B,A,,III,8,Yes,43,"206,739",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A337,A337,AIRBUS,Airbus A330-700 - Beluga XL,Airbus A330-700 Beluga XL,Jet,2,C,,,V,5,137,,,197.8,,207.0,62.0,83.3,97.2,41.4,"500,449","412,260",2D,Heavy,"44,053.6",Fixed-wing,Heavy,D,B,B,B,,III,N/A,No,0,260,,,,,,,,,,,,,,,,,
A338,A338,AIRBUS,Airbus A330-800,Airbus A330-800,Jet,2,C,,,V,5,140,,,210.0,,193.0,57.1,70.3,83.7,41.4,"544,542","410,060",2D,Heavy,"43,560.0",Fixed-wing,Heavy,D,B,B,B,,III,N/A,No,0,6,,,,,,,,,,,,,,,,,
A339,A339,AIRBUS,Airbus A330-900,Airbus A330-941,Jet,2,C,,,V,5,140,,,210.0,,208.9,55.1,79.8,94.1,41.4,"553,400","421,080",2D,Heavy,"47,058.0",Fixed-wing,Heavy,D,B,G,G,,III,9,Yes,11,"37,009",AAC validated by Flight Standardization Board (FSB) report.,,,,,,,,,,,,,,,,
A342,A342,AIRBUS,Airbus A340-200,Airbus A340-213,Jet,4,D,,,V,5,145,,,197.8,,195.0,55.9,76.3,90.3,41.4,"606,271","399,037",2D/D1,Heavy,"41,555.6",Fixed-wing,Heavy,D,B,G,G,,III,9,No,0,262,,,,,,,,,,,,,,,,,
